,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
312612,LAXWM,2017-01-27,4,Cancelled,4,2017
312613,LAXWM,2017-01-30,2,Confirmed,5,2017
312617,LAXWM,2017-02-20,4,Cancelled,8,2017
312620,LAXWM,2017-02-24,1,Confirmed,8,2017
312628,NYCAA,2017-02-15,2,Cancelled,7,2017
312629,NYCAA,2017-02-18,7,Cancelled,7,2017
312630,NYCAA,2017-02-19,3,Confirmed,7,2017
312631,NYCAA,2017-02-21,7,Confirmed,8,2017
312632,NYCAA,2017-02-22,1,Cancelled,8,2017
312633,NYCAA,2017-02-23,7,Confirmed,8,2017
312641,FAS,2017-02-23,1,Confirmed,8,2017
312642,FAS,2017-02-24,9,Confirmed,8,2017
312646,FAS,2017-02-10,1,Cancelled,6,2017
312655,NYCAA,2017-01-25,4,Confirmed,4,2017
312657,MIAEP,2017-02-17,31,Cancelled,7,2017
312662,MIAEP,2017-02-24,13,Confirmed,8,2017
312664,MIAEP,2017-02-24,10,Cancelled,8,2017
312668,MIAEP,2017-02-09,12,Cancelled,6,2017
312671,MIAEP,2017-02-13,15,Cancelled,7,2017
312681,NYCAA,2017-01-23,3,Cancelled,4,2017
312710,FAS,2017-02-12,5,Confirmed,6,2017
312719,GRG,2016-12-25,1,Confirmed,51,2016
312722,GRG,2017-02-21,5,Confirmed,8,2017
