,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
25031,SFODR,2016-03-04,5,Cancelled,9,2016
25069,SFODR,2016-03-15,10,Cancelled,11,2016
25677,LAXWP,2016-03-20,8,Confirmed,11,2016
25704,LAXWP,2016-01-31,6,Cancelled,4,2016
25931,SFODR,2016-02-08,10,Confirmed,6,2016
25937,SFODR,2016-03-09,13,Cancelled,10,2016
25938,SFODR,2016-03-13,19,Confirmed,10,2016
26449,MIASS,2016-03-21,20,Confirmed,12,2016
26478,MIASS,2016-03-20,38,Confirmed,11,2016
26481,MIASS,2016-03-20,38,Cancelled,11,2016
26539,SFODR,2016-03-21,16,Confirmed,12,2016
26540,SFODR,2016-02-04,10,Cancelled,5,2016
26547,SFODR,2016-03-08,9,Confirmed,10,2016
26570,MIASS,2016-02-17,10,Confirmed,7,2016
26744,NYCIK,2016-03-17,14,Confirmed,11,2016
26746,NYCIK,2016-03-20,24,Confirmed,11,2016
26803,LAXWP,2016-03-21,8,Confirmed,12,2016
26917,SFODR,2016-02-06,6,Confirmed,5,2016
27030,MIASS,2016-03-22,19,Confirmed,12,2016
27076,MIASS,2016-03-14,21,Cancelled,11,2016
27507,LAXWP,2016-03-23,10,Confirmed,12,2016
27590,MIASS,2016-02-26,18,Cancelled,8,2016
27643,SFODR,2016-03-23,13,Confirmed,12,2016
27660,SFODR,2016-03-23,13,Cancelled,12,2016
27665,SFODR,2016-02-12,6,Cancelled,6,2016
27670,SFODR,2016-03-02,11,Cancelled,9,2016
27718,NYCIK,2016-03-23,9,Confirmed,12,2016
28120,NYCIK,2016-03-22,7,Cancelled,12,2016
28128,LAXWP,2016-01-21,6,Cancelled,3,2016
28139,LAXWP,2016-03-03,8,Cancelled,9,2016
28141,NYCIK,2016-03-19,10,Cancelled,11,2016
28170,LAXWP,2016-03-24,14,Confirmed,12,2016
28197,LAXWP,2016-03-24,14,Cancelled,12,2016
28222,MIASS,2016-03-12,13,Cancelled,10,2016
28229,MIASS,2016-03-19,22,Cancelled,11,2016
28237,MIASS,2016-03-23,26,Confirmed,12,2016
28239,MIASS,2016-03-24,12,Confirmed,12,2016
28244,MIASS,2016-03-09,10,Cancelled,10,2016
28338,SFODR,2016-03-14,3,Cancelled,11,2016
28339,SFODR,2016-03-15,10,Confirmed,11,2016
28342,SFODR,2016-03-17,12,Cancelled,11,2016
28985,NYCIK,2016-03-24,11,Confirmed,12,2016
28988,NYCIK,2016-03-21,8,Cancelled,12,2016
28989,NYCIK,2016-03-21,8,Confirmed,12,2016
28997,LAXWP,2016-03-17,6,Cancelled,11,2016
28999,LAXWP,2016-03-15,14,Cancelled,11,2016
29005,LAXWP,2016-03-07,3,Cancelled,10,2016
29011,NYCIK,2016-03-18,9,Cancelled,11,2016
29013,NYCIK,2016-03-17,14,Cancelled,11,2016
29040,NYCIK,2016-03-04,7,Cancelled,9,2016
29051,LAXWP,2016-03-22,7,Confirmed,12,2016
29093,LAXWP,2016-03-25,10,Confirmed,12,2016
29144,MIASS,2016-03-06,18,Cancelled,9,2016
29147,MIASS,2016-03-22,19,Cancelled,12,2016
29199,MIASS,2016-03-25,9,Confirmed,12,2016
29389,SFODR,2016-02-20,12,Confirmed,7,2016
29412,SFODR,2016-03-21,16,Cancelled,12,2016
30190,NYCIK,2016-03-25,5,Confirmed,12,2016
30194,LAXWP,2016-02-24,11,Cancelled,8,2016
30231,NYCIK,2016-02-03,6,Cancelled,5,2016
30289,LAXWP,2016-03-26,6,Confirmed,12,2016
30301,LAXWP,2016-03-19,5,Cancelled,11,2016
30458,MIASS,2016-03-26,12,Confirmed,12,2016
30571,SFODR,2016-03-26,12,Confirmed,12,2016
30633,SFODR,2016-02-01,13,Confirmed,5,2016
31371,LAXWP,2016-03-22,7,Cancelled,12,2016
31437,MIASS,2016-03-05,19,Cancelled,9,2016
31469,MIASS,2016-02-13,4,Confirmed,6,2016
31470,MIASS,2016-02-15,8,Cancelled,7,2016
31474,MIASS,2016-03-24,12,Cancelled,12,2016
31475,MIASS,2016-03-27,19,Confirmed,12,2016
31593,SFODR,2016-03-24,8,Confirmed,12,2016
31824,NYCIK,2016-03-27,5,Confirmed,12,2016
