Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
WDCMO,1/19/2018,3,Confirmed,3,2018,1,,,
SEASM,1/19/2018,4,Confirmed,3,2018,1,,,
WDCDV,1/13/2018,1,Cancelled,2,2018,1,,,
WDCDV,1/19/2018,1,Cancelled,3,2018,1,,,
WDCHG,1/18/2018,2,Confirmed,3,2018,1,,,
WDCMA,1/13/2018,1,Confirmed,2,2018,1,,,
WDCMA,1/19/2018,1,Confirmed,3,2018,1,,,
WDCMO,1/17/2018,10,Cancelled,3,2018,1,,,
WDCPA,1/19/2018,5,Confirmed,3,2018,1,,,
WDCRG,1/19/2018,4,Confirmed,3,2018,1,,,
WDCRG,1/19/2018,1,Cancelled,3,2018,1,,,
WDCRG,1/20/2018,2,Confirmed,3,2018,1,,,
WDCTP,1/15/2018,2,Confirmed,3,2018,1,,,
WDCDP,1/16/2018,2,Confirmed,3,2018,1,,,
SEAVP,1/15/2018,3,Cancelled,3,2018,1,,,
SFOBC,1/14/2018,3,Confirmed,2,2018,1,,,
SLCSL,1/16/2018,5,Cancelled,3,2018,1,,,
SLCSL,1/17/2018,5,Cancelled,3,2018,1,,,
SMFKG,1/17/2018,2,Confirmed,3,2018,1,,,
SEASM,1/17/2018,2,Confirmed,3,2018,1,,,
ORDCH,1/19/2018,4,Cancelled,3,2018,1,,,
ORDAL,1/19/2018,9,Confirmed,3,2018,1,,,
DENDM,1/16/2018,5,Cancelled,3,2018,1,,,
DENDM,1/17/2018,4,Cancelled,3,2018,1,,,
DENDM,1/18/2018,7,Confirmed,3,2018,1,,,
DENDM,1/19/2018,2,Cancelled,3,2018,1,,,
INTCH,1/17/2018,4,Confirmed,3,2018,1,,,
LAXGY,1/19/2018,3,Confirmed,3,2018,1,,,
LAXSB,1/19/2018,2,Confirmed,3,2018,1,,,
LAXWE,1/14/2018,1,Cancelled,2,2018,1,,,
DENBO,1/13/2018,12,Confirmed,2,2018,1,,,
AUSVZ,1/14/2018,2,Confirmed,2,2018,1,,,
AUSVZ,1/15/2018,4,Confirmed,3,2018,1,,,
BNAAE,1/13/2018,1,Confirmed,2,2018,1,,,
BOSML,1/14/2018,3,Cancelled,2,2018,1,,,
BOSML,1/15/2018,4,Confirmed,3,2018,1,,,
CLTKM,1/16/2018,3,Cancelled,3,2018,1,,,
CLTKM,1/20/2018,3,Cancelled,3,2018,1,,,
BOSOX,1/19/2018,1,Cancelled,3,2018,1,,,
ORDAL,1/19/2018,10,Cancelled,3,2018,1,,,
MIAEP,1/16/2018,17,Cancelled,3,2018,1,,,
